rank,product_id,title,sold,price,active,rating
166,2747015,"Наклейки детские развивающие ""Забавные страшилки"", ""Милые мордашки"", Монстрики",45,199.0,86,5.0
167,1032203,"Аппликация детская, Новогодняя с пайетками. Картина в рамке Дед Мороз, Снеговик",45,290.0,25,5.0
168,534941,"Художник светом / Рисуй светом Набор для рисования в темноте с трафаретами, 25х18 см",45,499.0,0,0.0
169,452213,"Деревянная игрушка сортер - пазл ""Фигуры""",45,390.0,0,5.0
170,930838,"Пазлы деревянные детские Лесные жители, Зоопарк, Транспорт, Домашние животные. Сортер",44,299.0,13,5.0
171,799138,"Страны мира, Игра-викторина серия ""Умная Сова"" Bondibon",44,899.0,0,5.0
172,367351,"Пазлы деревянные детские Компот ""Три кота""",44,329.0,1,5.0
173,367333,"Пазлы детские деревянные герои мультфильма ""Три кота"" Коржик, Карамелька и Компот",44,349.0,0,5.0
174,2760126,"Раскраска многоразовая Пиши-стирай. Животные на ферме, Пони, Транспорт. Маркеры в комплекте",43,249.0,37,5.0
175,901491,Веселые лабиринты. 72 лабиринта. Развивающая игра Пиши-Стирай,43,495.0,14,5.0
176,309735,Конструктор - каталка Паровозик 7 деталей,43,380.0,0,4.7
177,39098,"Набор игрушек-пищалок для купания, BONDIBON, Подводный мир, 8 шт/упак",43,385.0,0,5.0
178,13252,Детская деревянная игрушка Мозаика Геоанимо,43,891.0,34,5.0
179,2334521,"Конструктор Динозавр со звуковыми эффектами, Серия Дино мир",42,690.0,16,5.0
180,2222984,"Антистресс игрушка, браслет мялка-тянучка, светится",42,259.0,5,5.0
181,2203256,"Кубики детские пластмассовые  с картинками ""Лесные / домашние животные""",42,199.0,0,5.0
182,447022,"Деревянная игрушка Шнуровка ""Корова""",42,175.0,0,5.0
183,28819,"Игрушка для развития моторики ""Серпантинка""",42,1125.0,2,5.0
184,3066958,Набор для шитья. Игрушка из фетра своими руками Милый динозаврик,41,299.0,39,4.0
185,2324714,"Мягкая елочная игрушка из фетра: домик, елочка, колокольчик своими руками",41,329.0,2,5.0
186,2213187,"Детская настольная игра для большой компании ""Мемы, общий сбор!""",41,459.0,22,5.0
187,903632,Набор для вышивания крестиком с пяльцами. Детская вышивка Новогодняя Дед Мороз,41,299.0,29,0.0
188,901598,Внимание и логика. Развивающая игра Пиши-Стирай,41,445.5,30,5.0
189,414714,"Шнуровка Лапочка ""Три кота"" Алатойс",41,149.0,0,5.0
190,309589,"Шнуровка ""Свинка Пеппа"" развивающая деревянная игрушка",41,150.0,0,5.0
191,2331513,"Кукла-перчатка на руку Домашний кукольный театр Доктор,  внучка Машенька",40,299.0,3,0.0
192,1010273,"Кубики ""Король Лев"" Герои Disney, Собери картинку. 6 штук",40,230.0,0,5.0
193,810916,"Лото ""Фрукты-овощи"", ""Животные"", ""Транспорт"" от Алатойс",40,531.0,26,5.0
194,537588,"Набор игровой ""Играем в воде"", Рыбки-колечки для ныряния, Вondibon",40,390.0,0,5.0
195,452340,Деревянная игрушка - Шнуровка Уточка,40,175.0,0,5.0
196,309577,"Шнуровка ""Джордж"" Свинка Пеппа развивающая деревянная игрушка",40,175.0,1,5.0
197,172659,Совочек НОРДПЛАСТ 15см,40,20.0,0,0.0
198,13323,"Игрушка-шнуровка в контейнере, 45 шт",40,450.0,0,4.7
199,2984275,"Блокнот IQ Лабиринты, Кроссворды, задания. Новогодний детский",39,75.0,31,0.0
200,234052,Зубастый крокодил. Настольная игра со светом и звуком / Безумный крокодил Bondibon,39,1450.0,0,4.4
201,455258,"Детские деревянные пазлы ""Учись считать""",38,430.65,21,5.0
202,9926,"Игра настольная Мемори, мемо на память и логику",38,749.0,0,5.0
203,2974849,Ёлочный шар под раскраску на новый год Холодное сердце Эльза и Олаф,37,149.0,3,5.0
204,2574753,"Набор для опытов Удивительные опыты с водой, 23 предмета, 20 опытов",37,990.0,13,3.5
205,2336414,"Конструктор-трансформер ""Паровоз"", 3 варианта сборки, 305 деталей",37,1099.0,0,5.0
206,1830487,"Раскраска на доске ""Животные"": Котик, Единорог, Лев, Фламинго, Жираф",37,399.0,17,5.0
207,434777,"Лабиринт ""Кот""",37,210.0,0,5.0
208,2974974,"Наклейки новогодние кружочки. Приходи, Новый год",36,169.0,4,5.0
209,2303775,Раскопки для детей Юный археолог (17 артефактов),36,499.0,3,5.0
210,1034678,Игрушка Машинка деревянная,36,245.0,0,5.0
211,955784,"Детская настольная игра Домино ""Животные, игрушки""",36,355.0,5,5.0
212,711203,Деревянные счетные палочки и счетный материал,36,531.0,19,5.0
