rank,product_id,group,title,sold,price,active,rating
201,455258,Пазлы,"Детские деревянные пазлы ""Учись считать""",38,430.65,21,5.0
202,9926,Настольные и карточные игры,"Игра настольная Мемори, мемо на память и логику",38,749.0,0,5.0
203,2974849,Творчество и рукоделие,Ёлочный шар под раскраску на новый год Холодное сердце Эльза и Олаф,37,149.0,3,5.0
204,2574753,Опыты и наука,"Набор для опытов Удивительные опыты с водой, 23 предмета, 20 опытов",37,990.0,13,3.5
205,2336414,Конструкторы,"Конструктор-трансформер ""Паровоз"", 3 варианта сборки, 305 деталей",37,1099.0,0,5.0
206,1830487,Творчество и рукоделие,"Раскраска на доске ""Животные"": Котик, Единорог, Лев, Фламинго, Жираф",37,399.0,17,5.0
207,434777,Прочее,"Лабиринт ""Кот""",37,210.0,0,5.0
208,2974974,Творчество и рукоделие,"Наклейки новогодние кружочки. Приходи, Новый год",36,169.0,4,5.0
209,2303775,Опыты и наука,Раскопки для детей Юный археолог (17 артефактов),36,499.0,3,5.0
210,1034678,Деревянные игрушки и шнуровки,Игрушка Машинка деревянная,36,245.0,0,5.0
211,955784,Настольные и карточные игры,"Детская настольная игра Домино ""Животные, игрушки""",36,355.0,5,5.0
212,711203,Деревянные игрушки и шнуровки,Деревянные счетные палочки и счетный материал,36,531.0,19,5.0
213,45705,Настольные и карточные игры,"Настольная семейная игра ""Быстрые стаканчики""",36,1124.1,11,5.0
214,2976834,Прочее,"Кружка керамическая детская, сувенирная, 350 мл Супер-мен, Человек-паук Marvel",35,454.09,22,5.0
215,537528,Прочее,"Жилет для плавания детский ""Тропические приятели""  3-5 лет",35,450.0,0,5.0
216,2539424,Книги и обучающие материалы,"Книжка - шуршалка по методике Г. Домана,Чёрно-белые картинки для малышей , Животные",34,441.0,57,0.0
217,367773,Деревянные игрушки и шнуровки,"Шнуровка Гоня ""Три кота""",34,149.0,0,5.0
218,2071821,Конструкторы,"Конструктор металлический Стройка, Кран, Трактор, Самосвал",33,545.09,46,0.0
219,1008855,Творчество и рукоделие,"Раскраски антистресс, Дыхание весны, 6 листов 29,5х19 см",33,165.0,0,5.0
220,903391,Магнитные игры и одевашки,"Магниты новогодние ""Магнитные истории: Дед мороз, Снегурочка, Ёлочка""",33,199.0,15,4.8
221,348068,Прочее,"Новогодняя игрушка для раскрашивания ""Ёлочные украшения"" Домик Деда Мороза",33,255.0,0,5.0
222,30518,Прочее,"Металлофон, 8 нот",33,450.0,0,5.0
223,13255,Магнитные игры и одевашки,"Магнитный конструктор ""Смешные лица""",33,750.0,0,5.0
224,2547763,Прочее,"Мелки цветные ""Смешарики"", Тачки, Принцесса",32,69.0,73,0.0
225,2449674,Прочее,"Набор для девочек: временная тату, заколки, браслетик, Единорог, Котёнок, Корги",32,199.0,24,5.0
226,2394763,"Животные, фигурки и наборы","Кубики мягкие для малышей Синий трактор: Зверята, кубики, 4 шт, 8 см",32,590.0,19,5.0
227,509659,Прочее,"Круг надувной для плавания 51 см, 3-6лет INTEX",32,190.0,0,5.0
228,418078,"Кубики, мозаика и пирамидки","Пирамидка ""Ёлочка""",32,500.5,2,0.0
229,417270,Прочее,"Игровой набор ""Стирка""",32,549.0,0,5.0
230,323348,Прочее,"Игры с прищепками ""Фрукты-овощи""",32,391.5,6,5.0
231,309719,Деревянные игрушки и шнуровки,"Каталка "" Коровка "" развивающая деревянная игрушка",32,375.0,0,4.5
232,487978,Деревянные игрушки и шнуровки,Деревянная игрушка Сортер,31,549.0,0,4.8
233,2793019,Прочее,Карнавальная шляпа Ведьмы - Колдуньи на Хэллоуин. Паутина и Ведьмочка,30,499.0,0,5.0
