"ID","Наименование","Штрихкод","SKU","ID товара","К отправке","В продаже","Возврат","Брак","Себест. (руб.)","Стоимость продажи (руб.)","Общий остаток","Общая сумма остатков (руб.)","Себест. (сумма) (руб.)","Стоимость продажи (сумма) (руб.)","Остаток на СДХ","Остаток на фотостудии","Остаток на СДХ (сумма) (руб.)","Доступно к отправке","Статус","Среднесуточные продажи (шт.)","Среднесуточные остатки, (шт.)","Оборачиваемость","Габариты товара: длина (мм)","Габариты товара: ширина (мм)","Габариты товара: высота (мм)","Платные остатки (шт.)","Объем платных остатков (л)","Стоимость хранения (руб. в день)","Seller SKU ID"
"8366501","Кружка керамическая детская сувенирная 350 мл Супер-мен Человек-паук Marvel","6900028287732","WONDERS-КРУЖК-ИНДИГО","2976834","0","2","0","0","204,00","454,09","2","908,18","408,00","908,18","0","0","0,00","998","В продаже","0,033","3,050","91,500","129","115","127","0","0,00","0,00","КРУЖК-Индиго"
"8366502","Кружка керамическая детская сувенирная 350 мл Супер-мен Человек-паук Marvel","6900068699663","WONDERS-КРУЖК-ЛАЗУР","2976834","0","0","1","0","214,00","499,00","0","0,00","0,00","0,00","0","0","0,00","1000","В продаже","0,000","0,000","0,000","128","113","122","0","0,00","0,00","КРУЖК-Лазурный"
"8366556","Кружка Новогодняя детская сублимация Холодное сердце Микки Маус Пони керамика 350 мл","6900039336115","WONDERS-КРУЖКА-ГОЛУБ","2976090","0","9","0","0","214,00","419,00","9","3771,00","1926,00","3771,00","0","0","0,00","991","В продаже","0,000","9,000","0,000","128","114","121","0","0,00","0,00",""
"8366568","Кружка керамическая детская сувенирная 350 мл Супер-мен Человек-паук Marvel","6900100480815","WONDERS-КРУЖК-ЛЕДЯН","2976834","0","0","0","0","204,00","499,00","0","0,00","0,00","0,00","0","0","0,00","1000","В продаже","0,000","0,000","0,000","128","111","125","0","0,00","0,00","КРУЖК-Ледяной"
"8366653","Карнавальный набор Снежинка. Новогодний ободок пумпоны","6900035282157","WONDERS-КАРНАВА-ЛЕДЯН","2974163","0","0","4","0","159,00","369,00","0","0,00","0,00","0,00","0","0","0,00","1000","В продаже","1,000","1,000","1,000","314","150","23","0","0,00","0,00",""
"8385761","Кружка керамическая детская сувенирная 350 мл Супер-мен Человек-паук Marvel","1000083857613","WONDERS-КРУЖК-КРАСН","2976834","0","8","1","0","218,00","499,00","8","3992,00","1744,00","3992,00","0","0","0,00","992","В продаже","0,000","8,000","0,000","125","109","125","0","0,00","0,00","КРУЖК-Красный"
"8386351","Блокнот IQ Лабиринты Кроссворды задания. Новогодний детский","1000083863515","WONDERS-БЛОКНОТ-АЛЫЙ","2984275","0","9","0","0","20,00","75,00","9","675,00","180,00","675,00","0","0","0,00","991","В продаже","0,017","9,550","573,000","172","124","12","0","0,00","0,00","1000083"
"8386352","Блокнот IQ Лабиринты Кроссворды задания. Новогодний детский","1000083863522","WONDERS-БЛОКНОТ-АМЕТИС","2984275","0","6","0","0","24,00","89,00","6","534,00","144,00","534,00","0","0","0,00","994","В продаже","0,000","6,000","0,000","171","121","12","0","0,00","0,00","1000084"
"8386353","Блокнот IQ Лабиринты Кроссворды задания. Новогодний детский","1000083863539","WONDERS-БЛОКНОТ-ЗЕЛЕН","2984275","0","16","0","0","20,00","89,00","16","1424,00","320,00","1424,00","0","0","0,00","984","В продаже","0,000","16,000","0,000","179","124","13","0","0,00","0,00","100007"
"8669663","Многоразовая книжка с маркером Пиши-стирай. Животные в Море Лесные и домашние животные","2900038224554","WONDERS-ОБВОДИ-ЛЗЕЛЕН","2687332","0","20","0","0","46,00","199,00","20","3980,00","920,00","3980,00","0","0","0,00","980","В продаже","0,000","20,000","0,000","251","170","1","0","0,00","0,00",""
"8669696","Кружка Новогодняя детская сублимация Холодное сердце Микки Маус Пони керамика 350 мл","6900104858535","WONDERS-КРУЖКА-КРАСН","2976090","0","9","0","0","188,00","499,00","9","4491,00","1692,00","4491,00","0","0","0,00","991","В продаже","0,000","9,000","0,000","103","89","93","0","0,00","0,00",""
"8669697","Кружка Новогодняя детская сублимация Холодное сердце Микки Маус Пони керамика 350 мл","6900104858412","WONDERS-КРУЖКА-ПУДР","2976090","0","9","0","0","188,00","499,00","9","4491,00","1692,00","4491,00","0","0","0,00","991","В продаже","0,000","9,000","0,000","104","92","93","0","0,00","0,00",""
"8669698","Кружка Новогодняя детская сублимация Холодное сердце Микки Маус Пони керамика 350 мл","6900104531544","WONDERS-КРУЖКА-РОЗОВ","2976090","0","13","1","0","192,00","499,00","13","6487,00","2496,00","6487,00","0","0","0,00","987","В продаже","0,000","13,000","0,000","118","90","106","0","0,00","0,00",""
"8669699","Кружка Новогодняя детская сублимация Холодное сердце Микки Маус Пони керамика 350 мл","6900104531582","WONDERS-КРУЖКА-СИНИЙ","2976090","0","8","1","2","192,00","499,00","8","3992,00","1536,00","3992,00","0","0","0,00","991","В продаже","0,017","8,350","501,000","121","94","102","0","0,00","0,00",""
"8669700","Кружка Новогодняя детская сублимация Холодное сердце Микки Маус Пони керамика 350 мл","6900104858429","WONDERS-КРУЖКА-ТЕМНРОЗ","2976090","0","13","0","0","188,00","499,00","13","6487,00","2444,00","6487,00","0","0","0,00","987","В продаже","0,000","13,000","0,000","104","93","89","0","0,00","0,00",""
"8673429","Блокнот / ежедневник - смешбук + раскраска антистресс А5","6900030324906","WONDERS-СМЕШБУК-БЕЛЫЙ","3062814","0","9","0","0","123,00","349,00","9","3141,00","1107,00","3141,00","0","0","0,00","991","Заблокирован","0,000","9,000","0,000","188","136","8","0","0,00","0,00","БЕЛ"
"8673430","Блокнот / ежедневник - смешбук + раскраска антистресс А5","6900100510079","WONDERS-СМЕШБУК-БИРЮЗ","3062814","0","10","0","0","112,00","329,00","10","3290,00","1120,00","3290,00","0","0","0,00","990","Заблокирован","0,000","10,000","0,000","191","134","7","0","0,00","0,00","БИРЮЗ"
"8673431","Блокнот / ежедневник - смешбук + раскраска антистресс А5","6900020084780","WONDERS-СМЕШБУК-КОНФЕТН","3062814","0","8","0","0","123,00","349,00","8","2792,00","984,00","2792,00","0","0","0,00","992","Заблокирован","0,000","8,000","0,000","188","136","14","0","0,00","0,00","КОНФЕТН"
"8673432","Блокнот / ежедневник - смешбук + раскраска антистресс А5","6900105528734","WONDERS-СМЕШБУК-КОРАЛЛ","3062814","0","9","0","0","112,00","329,00","9","2961,00","1008,00","2961,00","0","0","0,00","991","Заблокирован","0,000","9,000","0,000","189","134","14","0","0,00","0,00","КОРАЛЛ"
"8675172","Записная книжка / дневник / блокнот/ анкета для девочек и мальчиков на замочке А6 50 л","1000086751727","WONDERS-НАЗАМОЧ-ГОРЧИЧ","3064419","0","10","0","0","150,00","410,00","10","4100,00","1500,00","4100,00","0","0","0,00","990","В продаже","0,000","10,000","0,000","143","122","12","0","0,00","0,00","НАЗАМОЧ-Горчичный"
